Participant,Session,Delay,Environment,Block,Trial,TwoDTrial,Visible,TrialTime,RewardY,RewardX,RewardFound,RewardType
18,Train,Long,3,10,25,0,0,6.92396,NA,NA,1,F
18,Train,Long,3,10,26,0,0,9.152303,NA,NA,1,F
18,Train,Long,3,10,27,0,0,7.555981,NA,NA,1,M
18,Train,Long,3,10,29,0,0,5.321723,NA,NA,1,W
18,Train,Long,3,10,32,0,0,6.503347,NA,NA,1,W
18,Train,Long,3,10,34,0,0,10.92261,NA,NA,1,F
18,Train,Long,3,10,36,0,0,12.44445,NA,NA,1,M
2,Train,Short,3,3,1,0,1,5.30045,NA,NA,1,F
2,Train,Short,3,3,2,0,0,12.87965,NA,NA,1,NoReward
2,Train,Short,3,4,1,0,1,8.469431,NA,NA,1,F
2,Train,Short,3,4,2,0,1,4.922569,NA,NA,1,F
2,Train,Short,3,4,3,0,1,6.419487,NA,NA,1,F
2,Train,Short,3,4,4,0,1,7.234249,NA,NA,1,F
2,Train,Short,3,4,5,0,1,6.215907,NA,NA,1,F
2,Train,Short,3,4,6,0,1,5.634221,NA,NA,1,F
2,Train,Short,3,4,7,0,1,6.049031,NA,NA,1,F
2,Train,Short,3,4,8,0,1,5.867322,NA,NA,1,F
2,Train,Short,3,4,9,0,1,5.26961,NA,NA,1,F
2,Train,Short,3,4,10,0,1,6.534513,NA,NA,1,F
2,Train,Short,3,4,11,0,1,2.749212,NA,NA,1,F
